Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
104,2,2024-10-25,CLE,,DET,"W, 113-101",,15:48,0,4,.000,0,4,.000,0,0,,.000,0,0,,0,1,1,2,1,0,0,1,0,-0.5,2,Sam Merrill
105,3,2024-10-26,CLE,@,WAS,"W, 135-116",,19:35,3,8,.375,3,7,.429,0,1,.000,.563,2,2,1.000,1,1,2,1,1,0,1,2,11,7.5,12,Sam Merrill
106,4,2024-10-28,CLE,@,NYK,"W, 110-104",,21:50,2,5,.400,2,5,.400,0,0,,.600,0,0,,0,2,2,2,1,0,0,3,6,5.1,9,Sam Merrill
107,5,2024-10-30,CLE,,LAL,"W, 134-110",,21:16,1,4,.250,1,4,.250,0,0,,.375,0,0,,0,0,0,3,2,0,0,2,3,3.9,25,Sam Merrill
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Sam Merrill
108,6,2024-11-01,CLE,,ORL,"W, 120-109",,20:04,2,3,.667,2,3,.667,0,0,,1.000,0,0,,0,2,2,1,0,0,0,3,6,4.8,5,Sam Merrill
109,7,2024-11-02,CLE,@,MIL,"W, 114-113",,22:05,6,10,.600,5,9,.556,1,1,1.000,.850,0,0,,0,1,1,1,0,1,0,0,17,14.1,6,Sam Merrill
110,8,2024-11-04,CLE,,MIL,"W, 116-114",,27:18,5,10,.500,2,6,.333,3,4,.750,.600,0,0,,0,5,5,2,2,0,2,1,12,9.5,-11,Sam Merrill
111,9,2024-11-06,CLE,@,NOP,"W, 131-122",,19:12,3,6,.500,3,6,.500,0,0,,.750,0,0,,1,1,2,0,0,0,2,3,9,3.8,0,Sam Merrill
112,10,2024-11-08,CLE,,GSW,"W, 136-117",,14:36,1,4,.250,1,4,.250,0,0,,.375,2,2,1.000,0,2,2,1,0,0,0,0,5,3.9,-3,Sam Merrill
113,11,2024-11-09,CLE,,BRK,"W, 105-100",,20:00,2,4,.500,2,4,.500,0,0,,.750,0,0,,0,2,2,2,1,0,0,2,6,6.2,2,Sam Merrill
114,12,2024-11-11,CLE,@,CHI,"W, 119-113",,18:16,0,5,.000,0,5,.000,0,0,,.000,0,0,,0,1,1,3,0,0,1,3,0,-3.3,11,Sam Merrill
,13,2024-11-13,CLE,@,PHI,"W, 114-106",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Merrill
,14,2024-11-15,CLE,,CHI,"W, 144-126",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Merrill
,15,2024-11-17,CLE,,CHO,"W, 128-114",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Merrill
115,16,2024-11-19,CLE,@,BOS,"L, 117-120",*,19:02,2,3,.667,2,3,.667,0,0,,1.000,0,0,,0,1,1,1,0,1,0,1,6,6.0,-10,Sam Merrill
,17,2024-11-20,CLE,,NOP,"W, 128-100",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Merrill
116,18,2024-11-24,CLE,,TOR,"W, 122-108",,19:46,1,6,.167,1,4,.250,0,2,.000,.250,0,0,,1,3,4,3,0,0,0,1,3,2.5,3,Sam Merrill
117,19,2024-11-27,CLE,,ATL,"L, 124-135",,16:54,4,8,.500,2,6,.333,2,2,1.000,.625,0,0,,1,1,2,0,0,1,1,2,10,5.9,-8,Sam Merrill
118,20,2024-11-29,CLE,@,ATL,"L, 101-117",,19:54,2,7,.286,2,7,.286,0,0,,.429,1,2,.500,0,0,0,1,0,0,0,3,7,2.0,-6,Sam Merrill
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Sam Merrill
119,21,2024-12-01,CLE,,BOS,"W, 115-111",,20:40,1,5,.200,1,5,.200,0,0,,.300,0,0,,0,1,1,2,0,1,1,0,3,1.3,16,Sam Merrill
120,22,2024-12-03,CLE,,WAS,"W, 118-87",,23:04,5,10,.500,4,9,.444,1,1,1.000,.700,0,0,,1,2,3,6,2,1,0,3,14,16.0,16,Sam Merrill
121,23,2024-12-05,CLE,,DEN,"W, 126-114",,20:33,3,8,.375,2,7,.286,1,1,1.000,.500,0,0,,0,5,5,2,1,0,1,2,8,5.7,12,Sam Merrill
122,24,2024-12-07,CLE,@,CHO,"W, 116-102",,20:14,2,6,.333,0,3,.000,2,3,.667,.333,2,2,1.000,1,0,1,0,1,0,0,3,6,3.1,-2,Sam Merrill
123,25,2024-12-08,CLE,@,MIA,"L, 113-122",,20:41,3,6,.500,2,5,.400,1,1,1.000,.667,2,2,1.000,0,0,0,2,0,0,1,4,10,5.8,-5,Sam Merrill
124,26,2024-12-13,CLE,,WAS,"W, 115-105",,24:03,3,10,.300,3,9,.333,0,1,.000,.450,0,0,,2,4,6,2,1,0,0,2,9,7.4,4,Sam Merrill
125,27,2024-12-16,CLE,@,BRK,"W, 130-101",,24:05,1,8,.125,1,8,.125,0,0,,.188,4,4,1.000,0,0,0,3,1,0,0,2,7,4.1,2,Sam Merrill
126,28,2024-12-20,CLE,,MIL,"W, 124-101",,19:09,2,6,.333,1,5,.200,1,1,1.000,.417,0,0,,0,3,3,1,0,0,2,0,5,1.2,0,Sam Merrill
127,29,2024-12-21,CLE,,PHI,"W, 126-99",,08:24,0,2,.000,0,2,.000,0,0,,.000,0,0,,1,0,1,0,0,0,0,1,0,-1.1,6,Sam Merrill
128,30,2024-12-23,CLE,,UTA,"W, 124-113",*,23:58,6,12,.500,6,11,.545,0,1,.000,.750,2,2,1.000,1,0,1,4,3,0,1,2,20,18.7,2,Sam Merrill
129,31,2024-12-27,CLE,@,DEN,"W, 149-135",,18:40,3,4,.750,3,4,.750,0,0,,1.125,0,0,,0,3,3,0,0,2,0,1,9,9.3,10,Sam Merrill
130,32,2024-12-30,CLE,@,GSW,"W, 113-95",,13:45,2,4,.500,1,2,.500,1,2,.500,.625,0,0,,1,1,2,0,0,0,1,4,5,1.4,7,Sam Merrill
131,33,2024-12-31,CLE,@,LAL,"W, 122-110",,07:34,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,1,0,0,0,2,0,-0.8,1,Sam Merrill
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Sam Merrill
,34,2025-01-03,CLE,@,DAL,"W, 134-122",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Merrill
,35,2025-01-05,CLE,,CHO,"W, 115-105",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Merrill
,36,2025-01-08,CLE,,OKC,"W, 129-122",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Merrill
132,37,2025-01-09,CLE,,TOR,"W, 132-126",,12:34,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,0,0,0,0,0,0,0,4,2,-2.0,13,Sam Merrill
