Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
157,53,2025-02-08,POR,@,MIN,"L, 98-114",,27:27,6,14,.429,1,6,.167,5,8,.625,.464,1,2,.500,1,2,3,3,1,0,1,1,14,9.2,-17,Shaedon Sharpe
158,54,2025-02-10,POR,@,DEN,"L, 117-146",,20:25,5,11,.455,1,6,.167,4,5,.800,.500,0,0,,2,1,3,1,1,0,1,1,11,7.3,-13,Shaedon Sharpe
159,55,2025-02-12,POR,@,DEN,"L, 121-132",,30:17,5,15,.333,1,6,.167,4,9,.444,.367,3,4,.750,1,3,4,7,1,0,1,1,14,11.2,-7,Shaedon Sharpe
160,56,2025-02-20,POR,,LAL,"L, 102-110",,21:03,4,11,.364,3,7,.429,1,4,.250,.500,0,0,,1,0,1,2,0,0,4,0,11,3.0,-20,Shaedon Sharpe
161,57,2025-02-22,POR,,CHO,"W, 141-88",,21:09,8,12,.667,4,7,.571,4,5,.800,.833,0,0,,0,3,3,5,0,2,1,0,20,19.6,27,Shaedon Sharpe
162,58,2025-02-24,POR,@,UTA,"W, 114-112",,17:47,5,13,.385,2,6,.333,3,7,.429,.462,0,0,,1,1,2,0,0,0,1,0,12,4.9,-24,Shaedon Sharpe
163,59,2025-02-26,POR,@,WAS,"W, 129-121",,33:15,13,26,.500,3,7,.429,10,19,.526,.558,7,10,.700,3,5,8,5,1,1,3,3,36,26.4,3,Shaedon Sharpe
164,60,2025-02-28,POR,@,BRK,"W, 121-102",*,35:53,9,14,.643,4,6,.667,5,8,.625,.786,3,5,.600,1,3,4,5,0,1,3,3,25,19.6,15,Shaedon Sharpe
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Shaedon Sharpe
165,61,2025-03-02,POR,@,CLE,"L, 129-133 (OT)",*,38:30,7,20,.350,1,6,.167,6,14,.429,.375,3,3,1.000,2,4,6,2,1,0,2,2,18,9.0,-2,Shaedon Sharpe
166,62,2025-03-03,POR,@,PHI,"W, 119-102",*,37:10,8,17,.471,1,7,.143,7,10,.700,.500,3,3,1.000,3,8,11,5,1,0,1,0,20,19.3,16,Shaedon Sharpe
167,63,2025-03-05,POR,@,BOS,"L, 118-128",*,40:23,11,18,.611,3,7,.429,8,11,.727,.694,0,0,,0,6,6,2,1,0,0,3,25,19.8,6,Shaedon Sharpe
168,64,2025-03-07,POR,@,OKC,"L, 89-107",*,35:48,7,14,.500,2,7,.286,5,7,.714,.571,3,3,1.000,0,3,3,2,1,0,5,1,19,9.9,-18,Shaedon Sharpe
169,65,2025-03-09,POR,,DET,"L, 112-119",*,27:52,4,11,.364,0,5,.000,4,6,.667,.364,4,5,.800,0,4,4,1,0,0,2,5,12,3.4,-18,Shaedon Sharpe
170,66,2025-03-10,POR,@,GSW,"L, 120-130",*,29:27,3,10,.300,1,4,.250,2,6,.333,.350,2,3,.667,3,4,7,8,0,0,5,2,9,5.9,-3,Shaedon Sharpe
171,67,2025-03-12,POR,,NYK,"L, 113-114 (OT)",*,42:24,8,18,.444,3,8,.375,5,10,.500,.528,2,2,1.000,4,5,9,2,0,0,4,1,21,12.9,2,Shaedon Sharpe
172,68,2025-03-16,POR,,TOR,"W, 105-102",*,33:43,7,16,.438,1,8,.125,6,8,.750,.469,2,2,1.000,1,3,4,1,1,0,4,1,17,7.5,2,Shaedon Sharpe
173,69,2025-03-17,POR,,WAS,"W, 112-97",*,25:16,6,14,.429,2,7,.286,4,7,.571,.500,2,4,.500,1,4,5,2,2,0,2,0,16,11.1,-3,Shaedon Sharpe
174,70,2025-03-19,POR,,MEM,"W, 115-99",*,30:19,6,13,.462,3,8,.375,3,5,.600,.577,2,2,1.000,0,7,7,5,1,0,2,1,17,14.5,22,Shaedon Sharpe
175,71,2025-03-21,POR,,DEN,"W, 128-109",*,38:35,10,22,.455,1,10,.100,9,12,.750,.477,2,2,1.000,2,4,6,2,1,1,1,4,23,14.7,21,Shaedon Sharpe
176,72,2025-03-23,POR,,BOS,"L, 116-129",*,38:19,9,16,.563,3,9,.333,6,7,.857,.656,2,3,.667,1,5,6,4,1,0,3,0,23,18.0,-1,Shaedon Sharpe
177,73,2025-03-25,POR,,CLE,"L, 111-122",*,39:35,8,20,.400,1,5,.200,7,15,.467,.425,1,1,1.000,1,3,4,2,2,0,1,1,18,10.8,-10,Shaedon Sharpe
178,74,2025-03-27,POR,@,SAC,"L, 107-128",*,31:20,7,15,.467,2,5,.400,5,10,.500,.533,6,8,.750,5,2,7,0,0,0,2,2,22,14.8,-13,Shaedon Sharpe
179,75,2025-03-30,POR,@,NYK,"L, 93-110",*,39:25,10,18,.556,2,8,.250,8,10,.800,.611,1,3,.333,2,5,7,3,2,1,3,1,23,17.9,4,Shaedon Sharpe
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Shaedon Sharpe
180,76,2025-04-01,POR,@,ATL,"W, 127-113",*,38:54,11,25,.440,3,10,.300,8,15,.533,.500,8,10,.800,1,9,10,3,2,0,2,0,33,24.6,23,Shaedon Sharpe
181,77,2025-04-03,POR,@,TOR,"W, 112-103",*,34:05,14,23,.609,4,10,.400,10,13,.769,.696,4,4,1.000,0,7,7,5,2,0,1,1,36,31.7,17,Shaedon Sharpe
182,78,2025-04-04,POR,@,CHI,"L, 113-118",*,34:40,7,23,.304,1,8,.125,6,15,.400,.326,2,2,1.000,0,2,2,5,1,0,1,2,17,7.0,-9,Shaedon Sharpe
183,79,2025-04-06,POR,,SAS,"W, 120-109",*,34:09,5,17,.294,2,7,.286,3,10,.300,.353,9,11,.818,0,10,10,6,1,0,6,3,21,11.3,11,Shaedon Sharpe
184,80,2025-04-09,POR,@,UTA,"L, 126-133 (OT)",*,35:27,13,23,.565,6,12,.500,7,11,.636,.696,5,10,.500,2,5,7,5,2,0,5,1,37,27.1,8,Shaedon Sharpe
,81,2025-04-11,POR,,GSW,"L, 86-103",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Shaedon Sharpe
,82,2025-04-13,POR,,LAL,"W, 109-81",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Shaedon Sharpe
359,1,2024-10-23,POR,,GSW,"L, 104-140",*,30:57,5,12,.417,0,2,.000,5,10,.500,.417,0,0,,2,9,11,2,2,0,1,2,10,9.3,-19,Deandre Ayton
360,2,2024-10-25,POR,,NOP,"L, 103-105",*,32:56,5,14,.357,0,0,,5,14,.357,.357,0,1,.000,2,13,15,2,0,2,1,4,10,7.3,-2,Deandre Ayton
361,3,2024-10-27,POR,,NOP,"W, 125-103",*,30:54,7,9,.778,1,1,1.000,6,8,.750,.833,2,2,1.000,6,6,12,0,0,1,2,2,17,17.4,15,Deandre Ayton
362,4,2024-10-28,POR,@,SAC,"L, 98-111",*,34:01,10,17,.588,0,0,,10,17,.588,.588,0,0,,3,8,11,1,0,0,1,2,20,15.5,-11,Deandre Ayton
363,5,2024-10-30,POR,@,LAC,"W, 106-105",*,33:33,7,15,.467,1,3,.333,6,12,.500,.500,0,0,,3,9,12,1,1,1,1,2,15,12.7,-7,Deandre Ayton
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Deandre Ayton
364,6,2024-11-01,POR,,OKC,"L, 114-137",*,28:04,7,11,.636,0,0,,7,11,.636,.636,0,0,,3,2,5,2,2,0,2,1,14,12.8,-11,Deandre Ayton
365,7,2024-11-02,POR,@,PHO,"L, 97-103",*,30:26,3,13,.231,1,2,.500,2,11,.182,.269,3,3,1.000,1,12,13,2,0,0,0,2,10,7.0,1,Deandre Ayton
366,8,2024-11-04,POR,@,NOP,"W, 118-100",*,31:51,9,14,.643,1,1,1.000,8,13,.615,.679,0,2,.000,5,8,13,0,1,0,1,1,19,17.5,9,Deandre Ayton
367,9,2024-11-07,POR,@,SAS,"L, 105-118",*,30:47,10,15,.667,1,2,.500,9,13,.692,.700,0,0,,2,8,10,0,2,1,2,2,21,18.2,-4,Deandre Ayton
368,10,2024-11-08,POR,@,MIN,"L, 102-127",*,17:54,2,6,.333,0,1,.000,2,5,.400,.333,0,0,,2,4,6,0,1,0,1,1,4,2.8,-8,Deandre Ayton
369,11,2024-11-10,POR,,MEM,"L, 89-134",*,20:37,3,5,.600,0,1,.000,3,4,.750,.600,0,0,,4,4,8,1,1,0,4,3,6,4.2,-22,Deandre Ayton
,12,2024-11-12,POR,,MIN,"W, 122-108",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Deandre Ayton
,13,2024-11-13,POR,,MIN,"W, 106-98",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Deandre Ayton
,14,2024-11-17,POR,,ATL,"W, 114-110",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Deandre Ayton
,15,2024-11-20,POR,@,OKC,"L, 99-109",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Deandre Ayton
,16,2024-11-22,POR,@,HOU,"L, 88-116",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Deandre Ayton
,17,2024-11-23,POR,@,HOU,"W, 104-98",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Deandre Ayton
,18,2024-11-25,POR,@,MEM,"L, 98-123",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Deandre Ayton
370,19,2024-11-27,POR,@,IND,"L, 114-121",*,33:44,7,10,.700,0,0,,7,10,.700,.700,2,2,1.000,4,8,12,2,1,3,4,1,16,17.1,-3,Deandre Ayton
