Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
539,14,2024-11-17,PHO,@,MIN,"L, 117-120",,24:53,3,7,.429,1,4,.250,2,3,.667,.500,0,0,,0,4,4,2,2,1,1,3,7,6.4,-10,Royce O'Neale
540,15,2024-11-18,PHO,,ORL,"L, 99-109",,19:58,1,8,.125,0,5,.000,1,3,.333,.125,0,0,,1,6,7,0,0,1,1,2,2,-1.8,-15,Royce O'Neale
541,16,2024-11-20,PHO,,NYK,"L, 122-138",*,32:36,6,12,.500,5,10,.500,1,2,.500,.708,0,2,.000,1,3,4,2,1,0,2,3,17,11.0,-20,Royce O'Neale
542,17,2024-11-26,PHO,,LAL,"W, 127-100",,23:43,3,6,.500,3,6,.500,0,0,,.750,0,0,,1,8,9,1,1,0,1,0,9,9.8,13,Royce O'Neale
543,18,2024-11-27,PHO,,BRK,"L, 117-127",,28:33,3,5,.600,2,4,.500,1,1,1.000,.800,0,0,,0,4,4,2,4,0,1,4,8,9.7,-7,Royce O'Neale
544,19,2024-11-30,PHO,,GSW,"W, 113-105",,19:25,4,6,.667,3,4,.750,1,2,.500,.917,0,0,,0,2,2,1,0,0,0,1,11,9.3,15,Royce O'Neale
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Royce O'Neale
545,20,2024-12-03,PHO,,SAS,"W, 104-93",,29:35,4,12,.333,2,9,.222,2,3,.667,.417,0,0,,1,5,6,1,1,0,1,0,10,6.1,12,Royce O'Neale
546,21,2024-12-05,PHO,@,NOP,"L, 124-126",*,27:32,6,9,.667,5,8,.625,1,1,1.000,.944,2,2,1.000,1,6,7,2,2,0,2,3,19,17.8,-3,Royce O'Neale
547,22,2024-12-07,PHO,@,MIA,"L, 111-121",*,31:18,8,15,.533,5,8,.625,3,7,.429,.700,2,2,1.000,3,5,8,3,1,0,2,2,23,19.6,-11,Royce O'Neale
548,23,2024-12-08,PHO,@,ORL,"L, 110-115",*,30:48,6,10,.600,4,6,.667,2,4,.500,.800,0,0,,0,7,7,1,0,0,2,3,16,11.0,0,Royce O'Neale
549,24,2024-12-13,PHO,@,UTA,"W, 134-126",*,28:22,6,11,.545,5,9,.556,1,2,.500,.773,0,0,,0,4,4,5,0,0,0,2,17,15.6,8,Royce O'Neale
550,25,2024-12-15,PHO,,POR,"W, 116-109",*,32:22,5,9,.556,3,6,.500,2,3,.667,.722,0,0,,0,4,4,2,0,0,0,1,13,10.9,-3,Royce O'Neale
551,26,2024-12-19,PHO,,IND,"L, 111-120",,26:20,3,5,.600,3,5,.600,0,0,,.900,0,0,,0,6,6,4,1,1,2,5,9,9.0,-2,Royce O'Neale
552,27,2024-12-21,PHO,,DET,"L, 125-133",*,34:00,4,6,.667,3,5,.600,1,1,1.000,.917,0,0,,0,3,3,1,2,0,3,3,11,7.8,-8,Royce O'Neale
553,28,2024-12-23,PHO,@,DEN,"L, 90-117",*,28:38,2,9,.222,2,8,.250,0,1,.000,.333,0,0,,1,1,2,4,1,0,0,2,6,4.5,-10,Royce O'Neale
554,29,2024-12-25,PHO,,DEN,"W, 110-100",,30:07,2,7,.286,1,5,.200,1,2,.500,.357,0,0,,1,7,8,6,2,1,0,3,5,9.4,3,Royce O'Neale
555,30,2024-12-27,PHO,,DAL,"L, 89-98",,30:17,5,11,.455,4,9,.444,1,2,.500,.636,0,0,,0,5,5,4,2,2,2,2,14,13.2,-11,Royce O'Neale
556,31,2024-12-28,PHO,@,GSW,"L, 105-109",,11:49,0,3,.000,0,3,.000,0,0,,.000,0,0,,0,1,1,0,0,1,0,1,0,-1.5,-5,Royce O'Neale
,32,2024-12-31,PHO,,MEM,"L, 112-117",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Royce O'Neale
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Royce O'Neale
,33,2025-01-04,PHO,@,IND,"L, 108-126",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Royce O'Neale
,34,2025-01-06,PHO,@,PHI,"W, 109-99",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Royce O'Neale
,35,2025-01-07,PHO,@,CHO,"L, 104-115",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Royce O'Neale
,36,2025-01-09,PHO,,ATL,"W, 123-115",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Royce O'Neale
,37,2025-01-11,PHO,,UTA,"W, 114-106",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Royce O'Neale
557,38,2025-01-12,PHO,,CHO,"W, 120-113",,21:38,3,7,.429,2,6,.333,1,1,1.000,.571,1,1,1.000,0,4,4,1,1,1,4,3,9,3.7,25,Royce O'Neale
558,39,2025-01-14,PHO,@,ATL,"L, 117-122",,16:26,1,5,.200,0,4,.000,1,1,1.000,.200,0,0,,1,3,4,1,1,0,1,1,2,0.8,-22,Royce O'Neale
559,40,2025-01-16,PHO,@,WAS,"W, 130-123",,21:40,3,6,.500,3,6,.500,0,0,,.750,0,0,,0,4,4,2,1,0,1,3,9,7.4,-10,Royce O'Neale
560,41,2025-01-18,PHO,@,DET,"W, 125-121",,16:11,2,4,.500,1,3,.333,1,1,1.000,.625,0,0,,1,5,6,1,0,0,2,3,5,2.7,14,Royce O'Neale
561,42,2025-01-20,PHO,@,CLE,"L, 92-118",,22:02,0,3,.000,0,3,.000,0,0,,.000,0,0,,0,6,6,0,0,0,0,1,0,-0.7,-14,Royce O'Neale
562,43,2025-01-22,PHO,@,BRK,"W, 108-84",,22:54,1,9,.111,1,7,.143,0,2,.000,.167,0,0,,2,2,4,0,0,0,2,2,3,-3.7,19,Royce O'Neale
563,44,2025-01-25,PHO,,WAS,"W, 119-109",,16:40,1,6,.167,1,6,.167,0,0,,.250,0,0,,0,4,4,1,0,1,0,0,3,1.8,-6,Royce O'Neale
564,45,2025-01-27,PHO,,LAC,"W, 111-109",*,25:02,4,9,.444,3,8,.375,1,1,1.000,.611,0,0,,0,2,2,0,4,0,0,0,11,10.9,-6,Royce O'Neale
565,46,2025-01-29,PHO,,MIN,"L, 113-121",*,31:42,2,8,.250,0,4,.000,2,4,.500,.250,0,0,,1,4,5,1,2,0,0,4,4,2.2,-10,Royce O'Neale
566,47,2025-01-31,PHO,@,GSW,"W, 130-105",,24:10,2,4,.500,2,4,.500,0,0,,.750,0,0,,0,2,2,4,0,0,0,3,6,6.2,15,Royce O'Neale
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Royce O'Neale
567,48,2025-02-01,PHO,@,POR,"L, 108-127",,14:16,2,5,.400,1,4,.250,1,1,1.000,.500,0,0,,0,3,3,1,0,0,0,1,5,3.5,5,Royce O'Neale
568,49,2025-02-03,PHO,@,POR,"L, 119-121 (OT)",,32:33,5,8,.625,4,7,.571,1,1,1.000,.875,0,0,,1,3,4,5,4,0,1,3,14,17.3,1,Royce O'Neale
569,50,2025-02-05,PHO,@,OKC,"L, 109-140",*,28:38,6,10,.600,6,9,.667,0,1,.000,.900,0,0,,0,5,5,1,0,0,0,2,18,14.8,-15,Royce O'Neale
570,51,2025-02-07,PHO,,UTA,"W, 135-127 (OT)",*,30:25,4,11,.364,4,11,.364,0,0,,.545,0,0,,0,3,3,4,0,4,0,2,12,11.6,-7,Royce O'Neale
571,52,2025-02-08,PHO,,DEN,"L, 105-122",*,30:28,3,9,.333,3,8,.375,0,1,.000,.500,0,0,,1,1,2,2,0,0,0,2,9,5.5,-20,Royce O'Neale
572,53,2025-02-11,PHO,,MEM,"L, 112-119",,33:33,4,12,.333,3,10,.300,1,2,.500,.458,0,0,,0,6,6,4,1,0,1,3,11,7.6,2,Royce O'Neale
573,54,2025-02-12,PHO,@,HOU,"L, 111-119",*,35:17,5,9,.556,4,5,.800,1,4,.250,.778,0,0,,0,4,4,0,2,0,0,2,14,12.1,-20,Royce O'Neale
574,55,2025-02-20,PHO,@,SAS,"L, 109-120",*,35:46,10,16,.625,6,12,.500,4,4,1.000,.813,1,2,.500,1,5,6,3,3,0,4,3,27,21.5,-5,Royce O'Neale
575,56,2025-02-22,PHO,@,CHI,"W, 121-117",*,23:56,1,7,.143,0,5,.000,1,2,.500,.143,0,0,,1,4,5,2,2,0,1,0,2,1.8,8,Royce O'Neale
576,57,2025-02-23,PHO,@,TOR,"L, 109-127",*,27:52,2,8,.250,1,6,.167,1,2,.500,.313,0,0,,0,4,4,2,2,1,1,2,5,3.7,-7,Royce O'Neale
577,58,2025-02-25,PHO,@,MEM,"L, 148-151 (OT)",,14:34,3,5,.600,3,4,.750,0,1,.000,.900,1,2,.500,2,2,4,1,1,0,0,0,10,11.0,2,Royce O'Neale
578,59,2025-02-27,PHO,,NOP,"L, 116-124",,10:33,2,3,.667,2,2,1.000,0,1,.000,1.000,0,0,,0,1,1,0,0,0,0,1,6,4.6,-8,Royce O'Neale
579,60,2025-02-28,PHO,,NOP,"W, 125-108",,25:43,6,9,.667,6,9,.667,0,0,,1.000,0,0,,0,3,3,3,0,0,1,1,18,15.7,12,Royce O'Neale
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Royce O'Neale
580,61,2025-03-02,PHO,,MIN,"L, 98-116",,13:33,0,3,.000,0,3,.000,0,0,,.000,0,0,,2,3,5,1,0,1,0,0,0,1.6,-15,Royce O'Neale
581,62,2025-03-04,PHO,,LAC,"W, 119-117",,28:47,4,9,.444,4,7,.571,0,2,.000,.667,0,0,,1,2,3,3,0,0,0,2,12,9.9,2,Royce O'Neale
582,63,2025-03-07,PHO,@,DEN,"L, 141-149 (OT)",,19:43,2,4,.500,2,4,.500,0,0,,.750,0,0,,0,1,1,5,1,0,0,1,6,8.4,7,Royce O'Neale
