Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
,24,2024-12-08,CHO,@,IND,"W, 113-109",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
,25,2024-12-13,CHO,@,CHI,"L, 95-109",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
203,26,2024-12-16,CHO,,PHI,"L, 108-121",*,25:50,5,15,.333,3,8,.375,2,7,.286,.433,2,4,.500,0,5,5,11,4,0,3,3,15,14.7,-10,LaMelo Ball
204,27,2024-12-19,CHO,@,WAS,"L, 114-123",*,33:32,11,32,.344,3,18,.167,8,14,.571,.391,9,10,.900,1,3,4,13,4,0,1,3,34,28.1,3,LaMelo Ball
,28,2024-12-20,CHO,@,PHI,"L, 98-108",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
205,29,2024-12-23,CHO,,HOU,"L, 101-114",*,30:29,9,18,.500,5,11,.455,4,7,.571,.639,0,0,,1,4,5,8,0,1,0,1,23,21.8,-6,LaMelo Ball
206,30,2024-12-26,CHO,@,WAS,"L, 110-113",*,37:55,12,27,.444,4,13,.308,8,14,.571,.519,3,3,1.000,0,6,6,6,1,0,5,2,31,18.1,-10,LaMelo Ball
,31,2024-12-28,CHO,,OKC,"L, 94-106",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
,32,2024-12-30,CHO,,CHI,"L, 108-115 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,LaMelo Ball
,33,2025-01-03,CHO,@,DET,"L, 94-98",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
207,34,2025-01-05,CHO,@,CLE,"L, 105-115",*,33:12,7,20,.350,3,11,.273,4,9,.444,.425,7,9,.778,1,2,3,4,0,0,3,3,24,11.9,-7,LaMelo Ball
208,35,2025-01-07,CHO,,PHO,"W, 115-104",*,35:09,12,28,.429,5,16,.313,7,12,.583,.518,3,5,.600,5,5,10,7,4,0,1,3,32,28.1,0,LaMelo Ball
209,36,2025-01-12,CHO,@,PHO,"L, 113-120",*,39:31,9,25,.360,5,17,.294,4,8,.500,.460,2,2,1.000,1,5,6,11,3,1,3,3,25,20.5,3,LaMelo Ball
210,37,2025-01-15,CHO,@,UTA,"W, 117-112",*,39:03,11,21,.524,2,9,.222,9,12,.750,.571,3,3,1.000,0,6,6,9,0,3,6,4,27,19.3,16,LaMelo Ball
211,38,2025-01-17,CHO,@,CHI,"W, 125-123",*,32:05,7,19,.368,1,9,.111,6,10,.600,.395,11,13,.846,0,1,1,9,2,0,3,2,26,19.5,-9,LaMelo Ball
212,39,2025-01-20,CHO,,DAL,"W, 110-105",*,37:48,8,21,.381,5,10,.500,3,11,.273,.500,2,4,.500,1,6,7,9,1,1,2,3,23,18.0,4,LaMelo Ball
213,40,2025-01-22,CHO,@,MEM,"L, 120-132",*,34:13,7,20,.350,2,6,.333,5,14,.357,.400,6,6,1.000,3,5,8,6,0,0,2,4,22,15.0,-9,LaMelo Ball
,41,2025-01-24,CHO,,POR,"L, 97-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
214,42,2025-01-25,CHO,,NOP,"W, 123-92",*,30:11,9,21,.429,4,13,.308,5,8,.625,.524,3,6,.500,0,5,5,7,3,0,4,2,25,17.3,0,LaMelo Ball
215,43,2025-01-27,CHO,,LAL,"L, 107-112",*,08:45,2,5,.400,2,3,.667,0,2,.000,.600,1,2,.500,0,0,0,1,1,0,1,1,7,4.2,-13,LaMelo Ball
,44,2025-01-29,CHO,,BRK,"L, 83-104",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
,45,2025-01-31,CHO,,LAC,"L, 104-112",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,LaMelo Ball
,46,2025-02-01,CHO,,DEN,"L, 104-107",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
,47,2025-02-03,CHO,,WAS,"L, 114-124",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
,48,2025-02-05,CHO,,MIL,"L, 102-112",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
216,49,2025-02-07,CHO,,SAS,"W, 117-116",*,36:12,9,26,.346,4,11,.364,5,15,.333,.423,2,2,1.000,1,3,4,10,0,0,3,3,24,13.8,8,LaMelo Ball
,50,2025-02-09,CHO,@,DET,"L, 102-112",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
217,51,2025-02-10,CHO,@,BRK,"L, 89-97",*,10:19,2,5,.400,1,3,.333,1,2,.500,.500,0,0,,0,1,1,3,1,0,0,0,5,5.7,-3,LaMelo Ball
,52,2025-02-12,CHO,@,ORL,"L, 86-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
218,53,2025-02-19,CHO,@,LAL,"W, 100-97",*,33:15,9,19,.474,5,13,.385,4,6,.667,.605,4,4,1.000,0,5,5,6,1,0,3,1,27,20.6,8,LaMelo Ball
,54,2025-02-20,CHO,@,DEN,"L, 115-129",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
219,55,2025-02-22,CHO,@,POR,"L, 88-141",*,21:49,1,10,.100,0,4,.000,1,6,.167,.100,3,4,.750,0,4,4,2,0,1,0,1,5,0.9,-18,LaMelo Ball
220,56,2025-02-24,CHO,@,SAC,"L, 88-130",*,28:35,3,13,.231,1,7,.143,2,6,.333,.269,6,6,1.000,3,3,6,9,1,0,3,4,13,10.8,-32,LaMelo Ball
,57,2025-02-25,CHO,@,GSW,"L, 92-128",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
,58,2025-02-27,CHO,@,DAL,"L, 96-103",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,LaMelo Ball
221,59,2025-03-01,CHO,,WAS,"L, 100-113",*,32:24,7,19,.368,5,13,.385,2,6,.333,.500,1,1,1.000,1,6,7,3,0,0,6,4,20,6.5,6,LaMelo Ball
222,60,2025-03-03,CHO,,GSW,"L, 101-119",*,34:25,8,21,.381,4,9,.444,4,12,.333,.476,5,8,.625,2,7,9,7,1,1,6,4,25,14.8,0,LaMelo Ball
