Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
76,43,2025-01-27,CHO,,LAL,"L, 107-112",,12:30,1,2,.500,1,2,.500,0,0,,.750,2,2,1.000,3,2,5,2,0,0,0,3,5,6.9,5,DaQuan Jeffries
77,44,2025-01-29,CHO,,BRK,"L, 83-104",,21:06,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,1,1,0,0,0,0,1.3,-15,DaQuan Jeffries
78,45,2025-01-31,CHO,,LAC,"L, 104-112",,10:20,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,1,2,0,0,4,0,0.4,-9,DaQuan Jeffries
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DaQuan Jeffries
79,46,2025-02-01,CHO,,DEN,"L, 104-107",,13:44,1,3,.333,1,2,.500,0,1,.000,.500,2,2,1.000,0,0,0,1,1,1,0,3,5,4.5,3,DaQuan Jeffries
80,47,2025-02-03,CHO,,WAS,"L, 114-124",,11:52,1,4,.250,0,3,.000,1,1,1.000,.250,0,0,,0,1,1,1,0,0,0,2,2,-0.2,-25,DaQuan Jeffries
81,48,2025-02-05,CHO,,MIL,"L, 102-112",,29:26,3,7,.429,2,4,.500,1,3,.333,.571,1,1,1.000,2,4,6,2,1,0,1,1,9,8.9,23,DaQuan Jeffries
82,49,2025-02-07,CHO,,SAS,"W, 117-116",*,29:59,2,9,.222,0,4,.000,2,5,.400,.222,0,0,,3,2,5,5,1,1,2,4,4,2.8,2,DaQuan Jeffries
83,50,2025-02-09,CHO,@,DET,"L, 102-112",*,30:08,0,2,.000,0,2,.000,0,0,,.000,0,0,,1,2,3,2,1,0,2,2,0,-0.5,-4,DaQuan Jeffries
84,51,2025-02-10,CHO,@,BRK,"L, 89-97",,24:50,3,6,.500,0,3,.000,3,3,1.000,.500,1,2,.500,0,1,1,1,0,1,0,2,7,4.5,-4,DaQuan Jeffries
85,52,2025-02-12,CHO,@,ORL,"L, 86-102",,26:27,0,4,.000,0,3,.000,0,1,.000,.000,0,0,,0,2,2,0,0,1,1,2,0,-3.3,-22,DaQuan Jeffries
86,53,2025-02-19,CHO,@,LAL,"W, 100-97",,15:04,2,6,.333,1,5,.200,1,1,1.000,.417,0,0,,0,0,0,1,0,1,1,2,5,1.2,1,DaQuan Jeffries
,54,2025-02-20,CHO,@,DEN,"L, 115-129",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,DaQuan Jeffries
,55,2025-02-22,CHO,@,POR,"L, 88-141",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,DaQuan Jeffries
,56,2025-02-24,CHO,@,SAC,"L, 88-130",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,DaQuan Jeffries
,57,2025-02-25,CHO,@,GSW,"L, 92-128",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,DaQuan Jeffries
87,58,2025-02-27,CHO,@,DAL,"L, 96-103",,17:12,2,8,.250,0,3,.000,2,5,.400,.250,2,2,1.000,2,6,8,0,0,0,1,1,6,3.0,3,DaQuan Jeffries
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DaQuan Jeffries
88,59,2025-03-01,CHO,,WAS,"L, 100-113",,11:11,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,0,1,1,1,0,0,1,2,2,-0.5,-13,DaQuan Jeffries
89,60,2025-03-03,CHO,,GSW,"L, 101-119",,15:47,0,5,.000,0,2,.000,0,3,.000,.000,0,0,,2,3,5,0,0,0,0,2,0,-2.0,0,DaQuan Jeffries
90,61,2025-03-05,CHO,,MIN,"L, 110-125",*,27:23,3,5,.600,0,1,.000,3,4,.750,.600,0,0,,2,0,2,2,1,0,1,2,6,5.7,-22,DaQuan Jeffries
91,62,2025-03-07,CHO,,CLE,"L, 117-118",*,21:49,2,3,.667,1,1,1.000,1,2,.500,.833,1,2,.500,0,2,2,1,1,1,0,2,6,6.5,1,DaQuan Jeffries
92,63,2025-03-08,CHO,,BRK,"W, 105-102",,21:13,1,5,.200,1,3,.333,0,2,.000,.300,0,0,,0,0,0,1,0,0,0,0,3,0.6,-2,DaQuan Jeffries
93,64,2025-03-10,CHO,@,MIA,"W, 105-102",*,34:22,2,7,.286,2,7,.286,0,0,,.429,2,2,1.000,1,2,3,1,1,2,0,4,8,6.7,22,DaQuan Jeffries
94,65,2025-03-12,CHO,@,ATL,"L, 110-123",*,31:45,8,15,.533,4,9,.444,4,6,.667,.667,0,0,,0,0,0,1,0,2,2,6,20,10.4,-8,DaQuan Jeffries
95,66,2025-03-14,CHO,@,SAS,"W, 145-134",*,32:44,5,9,.556,3,7,.429,2,2,1.000,.722,0,0,,0,1,1,1,1,0,1,4,13,8.1,4,DaQuan Jeffries
96,67,2025-03-16,CHO,@,LAC,"L, 88-123",*,36:27,2,11,.182,1,6,.167,1,5,.200,.227,0,0,,1,4,5,3,0,2,0,0,5,3.5,-35,DaQuan Jeffries
97,68,2025-03-18,CHO,,ATL,"L, 102-134",*,32:09,8,12,.667,3,5,.600,5,7,.714,.792,0,0,,3,2,5,1,0,2,2,4,19,15.0,-32,DaQuan Jeffries
98,69,2025-03-20,CHO,,NYK,"W, 115-98",*,33:15,4,7,.571,3,5,.600,1,2,.500,.786,3,4,.750,0,4,4,0,1,0,1,4,14,9.9,8,DaQuan Jeffries
99,70,2025-03-21,CHO,@,OKC,"L, 106-141",*,23:30,3,10,.300,3,6,.500,0,4,.000,.450,2,2,1.000,0,0,0,1,0,1,1,1,11,5.2,-10,DaQuan Jeffries
100,71,2025-03-23,CHO,@,MIA,"L, 105-122",*,23:18,3,6,.500,1,1,1.000,2,5,.400,.583,0,0,,0,3,3,0,0,1,0,2,7,4.8,-6,DaQuan Jeffries
101,72,2025-03-25,CHO,,ORL,"L, 104-111",*,20:50,3,11,.273,1,3,.333,2,8,.250,.318,0,0,,0,1,1,2,0,0,1,5,7,-0.8,1,DaQuan Jeffries
102,73,2025-03-28,CHO,@,TOR,"L, 97-108",*,26:29,6,9,.667,3,5,.600,3,4,.750,.833,0,0,,1,4,5,2,2,1,2,3,15,13.9,-7,DaQuan Jeffries
103,74,2025-03-30,CHO,@,NOP,"L, 94-98",*,29:38,2,9,.222,1,4,.250,1,5,.200,.278,0,0,,1,2,3,2,3,0,2,1,5,2.8,-5,DaQuan Jeffries
104,75,2025-03-31,CHO,,UTA,"W, 110-106",,17:49,4,7,.571,2,5,.400,2,2,1.000,.714,0,0,,0,4,4,1,0,1,0,1,10,8.9,-4,DaQuan Jeffries
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DaQuan Jeffries
105,76,2025-04-02,CHO,@,IND,"L, 105-119",,23:53,3,7,.429,2,4,.500,1,3,.333,.571,0,0,,0,2,2,1,0,0,3,3,8,1.4,-10,DaQuan Jeffries
106,77,2025-04-04,CHO,,SAC,"L, 102-125",*,32:18,3,7,.429,1,4,.250,2,3,.667,.500,1,2,.500,0,4,4,1,0,0,0,2,8,5.0,-1,DaQuan Jeffries
107,78,2025-04-06,CHO,,CHI,"L, 117-131",,19:07,0,0,,0,0,,0,0,,,4,4,1.000,2,0,2,2,0,0,0,2,4,6.0,-21,DaQuan Jeffries
108,79,2025-04-08,CHO,,MEM,"L, 100-124",*,33:53,2,8,.250,0,6,.000,2,2,1.000,.250,0,0,,2,3,5,2,1,0,0,2,4,3.1,-30,DaQuan Jeffries
109,80,2025-04-09,CHO,@,TOR,"L, 96-126",*,23:59,3,6,.500,1,3,.333,2,3,.667,.583,0,0,,1,5,6,1,0,0,2,1,7,4.5,-18,DaQuan Jeffries
110,81,2025-04-11,CHO,@,BOS,"L, 94-130",*,31:26,3,6,.500,1,3,.333,2,3,.667,.583,0,0,,0,1,1,1,0,2,0,0,7,6.4,-25,DaQuan Jeffries
111,82,2025-04-13,CHO,@,BOS,"L, 86-93",*,28:04,4,12,.333,3,8,.375,1,4,.250,.458,0,1,.000,1,3,4,0,1,0,1,1,11,5.0,-10,DaQuan Jeffries
,1,2024-10-23,CHO,@,HOU,"W, 110-105",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
,2,2024-10-25,CHO,@,ATL,"L, 120-125",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
,3,2024-10-26,CHO,,MIA,"L, 106-114",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
,4,2024-10-30,CHO,,TOR,"W, 138-133",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Nick Smith Jr.
,5,2024-11-01,CHO,,BOS,"L, 109-124",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
52,6,2024-11-02,CHO,,BOS,"L, 103-113",,09:42,2,5,.400,0,2,.000,2,3,.667,.400,0,0,,0,1,1,0,0,0,0,1,4,1.2,-6,Nick Smith Jr.
53,7,2024-11-04,CHO,@,MIN,"L, 93-114",,08:25,1,3,.333,1,2,.500,0,1,.000,.500,0,0,,0,0,0,0,1,0,1,0,3,1.3,7,Nick Smith Jr.
,8,2024-11-06,CHO,,DET,"W, 108-107",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
54,9,2024-11-08,CHO,,IND,"W, 103-83",,01:14,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,Nick Smith Jr.
,10,2024-11-10,CHO,@,PHI,"L, 105-107 (OT)",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
55,11,2024-11-12,CHO,@,ORL,"L, 89-114",,01:58,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,2,Nick Smith Jr.
,12,2024-11-16,CHO,,MIL,"W, 115-114",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
56,13,2024-11-17,CHO,@,CLE,"L, 114-128",,01:34,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,Nick Smith Jr.
,14,2024-11-19,CHO,@,BRK,"L, 115-116",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
,15,2024-11-21,CHO,,DET,"W, 123-121 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
,16,2024-11-23,CHO,@,MIL,"L, 119-125",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
57,17,2024-11-25,CHO,,ORL,"L, 84-95",,09:08,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-9,Nick Smith Jr.
58,18,2024-11-27,CHO,,MIA,"L, 94-98",,08:51,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,1,1,1,0,0,0,0,3,3.0,1,Nick Smith Jr.
59,19,2024-11-29,CHO,,NYK,"L, 98-99",,10:38,3,5,.600,2,3,.667,1,2,.500,.800,0,0,,0,0,0,1,0,0,0,1,8,6.0,-7,Nick Smith Jr.
60,20,2024-11-30,CHO,,ATL,"L, 104-107",,16:48,2,7,.286,1,3,.333,1,4,.250,.357,0,0,,0,1,1,2,1,0,0,0,5,3.6,-22,Nick Smith Jr.
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Nick Smith Jr.
61,21,2024-12-03,CHO,,PHI,"L, 104-110",,11:04,3,5,.600,1,2,.500,2,3,.667,.700,0,0,,1,1,2,3,0,0,1,0,7,6.8,4,Nick Smith Jr.
62,22,2024-12-05,CHO,@,NYK,"L, 101-125",,19:11,2,8,.250,2,5,.400,0,3,.000,.375,0,0,,0,3,3,1,0,0,0,1,6,2.4,-5,Nick Smith Jr.
63,23,2024-12-07,CHO,,CLE,"L, 102-116",,14:47,2,6,.333,0,3,.000,2,3,.667,.333,0,0,,0,0,0,0,1,1,0,5,4,0.3,-5,Nick Smith Jr.
64,24,2024-12-08,CHO,@,IND,"W, 113-109",,07:50,0,4,.000,0,2,.000,0,2,.000,.000,0,0,,0,2,2,1,1,0,1,0,0,-1.5,-4,Nick Smith Jr.
,25,2024-12-13,CHO,@,CHI,"L, 95-109",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
,26,2024-12-16,CHO,,PHI,"L, 108-121",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
,27,2024-12-19,CHO,@,WAS,"L, 114-123",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
,28,2024-12-20,CHO,@,PHI,"L, 98-108",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
65,29,2024-12-23,CHO,,HOU,"L, 101-114",,03:26,1,1,1.000,1,1,1.000,0,0,,1.500,1,2,.500,0,0,0,0,0,0,0,0,4,3.3,6,Nick Smith Jr.
,30,2024-12-26,CHO,@,WAS,"L, 110-113",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
,31,2024-12-28,CHO,,OKC,"L, 94-106",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
,32,2024-12-30,CHO,,CHI,"L, 108-115 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Nick Smith Jr.
66,33,2025-01-03,CHO,@,DET,"L, 94-98",,07:16,1,2,.500,1,1,1.000,0,1,.000,.750,0,0,,0,2,2,1,0,0,0,0,3,3.3,-1,Nick Smith Jr.
67,34,2025-01-05,CHO,@,CLE,"L, 105-115",,19:23,7,12,.583,4,6,.667,3,6,.500,.750,0,0,,0,5,5,2,0,1,0,1,18,15.6,7,Nick Smith Jr.
68,35,2025-01-07,CHO,,PHO,"W, 115-104",,21:06,3,8,.375,2,6,.333,1,2,.500,.500,0,0,,1,3,4,3,0,0,0,0,8,7.3,11,Nick Smith Jr.
69,36,2025-01-12,CHO,@,PHO,"L, 113-120",,17:33,3,10,.300,2,4,.500,1,6,.167,.400,0,0,,0,3,3,0,1,0,2,1,8,1.7,-15,Nick Smith Jr.
70,37,2025-01-15,CHO,@,UTA,"W, 117-112",,16:29,0,5,.000,0,5,.000,0,0,,.000,0,0,,0,1,1,4,0,0,1,1,0,-1.8,-13,Nick Smith Jr.
71,38,2025-01-17,CHO,@,CHI,"W, 125-123",*,25:37,6,12,.500,3,7,.429,3,5,.600,.625,0,0,,0,5,5,1,1,0,4,0,15,8.2,8,Nick Smith Jr.
72,39,2025-01-20,CHO,,DAL,"W, 110-105",*,30:12,7,13,.538,5,8,.625,2,5,.400,.731,0,0,,1,2,3,1,1,0,2,1,19,13.3,-2,Nick Smith Jr.
73,40,2025-01-22,CHO,@,MEM,"L, 120-132",*,30:56,4,10,.400,1,5,.200,3,5,.600,.450,0,0,,1,0,1,5,1,0,2,0,9,6.8,-10,Nick Smith Jr.
74,41,2025-01-24,CHO,,POR,"L, 97-102",*,34:17,6,18,.333,2,10,.200,4,8,.500,.389,3,3,1.000,0,5,5,5,0,2,3,3,17,9.0,-1,Nick Smith Jr.
75,42,2025-01-25,CHO,,NOP,"W, 123-92",*,23:01,2,6,.333,1,5,.200,1,1,1.000,.417,0,0,,0,1,1,1,0,0,1,1,5,1.2,4,Nick Smith Jr.
76,43,2025-01-27,CHO,,LAL,"L, 107-112",*,24:46,2,8,.250,0,4,.000,2,4,.500,.250,0,0,,0,1,1,6,0,1,1,3,4,2.2,-4,Nick Smith Jr.
77,44,2025-01-29,CHO,,BRK,"L, 83-104",*,27:01,1,10,.100,0,7,.000,1,3,.333,.100,0,0,,0,5,5,2,0,0,3,2,2,-5.5,-22,Nick Smith Jr.
78,45,2025-01-31,CHO,,LAC,"L, 104-112",*,25:30,3,12,.250,0,3,.000,3,9,.333,.250,2,2,1.000,0,2,2,1,1,0,1,2,8,1.3,-10,Nick Smith Jr.
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Nick Smith Jr.
79,46,2025-02-01,CHO,,DEN,"L, 104-107",*,33:10,7,12,.583,5,8,.625,2,4,.500,.792,0,0,,0,1,1,2,1,0,1,1,19,14.7,-14,Nick Smith Jr.
80,47,2025-02-03,CHO,,WAS,"L, 114-124",*,38:54,9,16,.563,4,7,.571,5,9,.556,.688,2,2,1.000,1,3,4,2,1,0,2,4,24,16.8,-11,Nick Smith Jr.
81,48,2025-02-05,CHO,,MIL,"L, 102-112",*,32:11,9,15,.600,4,8,.500,5,7,.714,.733,1,2,.500,0,2,2,2,0,0,1,4,23,15.1,-10,Nick Smith Jr.
82,49,2025-02-07,CHO,,SAS,"W, 117-116",*,33:59,8,13,.615,2,5,.400,6,8,.750,.692,1,1,1.000,1,5,6,5,0,0,3,1,19,15.4,3,Nick Smith Jr.
,50,2025-02-09,CHO,@,DET,"L, 102-112",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
83,51,2025-02-10,CHO,@,BRK,"L, 89-97",*,35:49,4,12,.333,1,7,.143,3,5,.600,.375,4,4,1.000,0,1,1,5,1,0,4,1,13,6.6,0,Nick Smith Jr.
84,52,2025-02-12,CHO,@,ORL,"L, 86-102",*,16:14,1,5,.200,0,2,.000,1,3,.333,.200,0,0,,0,1,1,3,0,0,1,0,2,0.3,8,Nick Smith Jr.
85,53,2025-02-19,CHO,@,LAL,"W, 100-97",*,28:50,4,13,.308,4,11,.364,0,2,.000,.462,0,0,,0,2,2,1,1,0,3,0,12,3.8,-4,Nick Smith Jr.
86,54,2025-02-20,CHO,@,DEN,"L, 115-129",*,32:40,7,16,.438,2,6,.333,5,10,.500,.500,0,0,,0,1,1,3,0,0,0,1,16,9.6,-15,Nick Smith Jr.
87,55,2025-02-22,CHO,@,POR,"L, 88-141",*,32:48,6,18,.333,0,5,.000,6,13,.462,.333,2,2,1.000,1,1,2,2,1,0,4,5,14,1.2,-32,Nick Smith Jr.
88,56,2025-02-24,CHO,@,SAC,"L, 88-130",*,32:43,5,15,.333,3,9,.333,2,6,.333,.433,0,0,,0,1,1,2,0,0,2,2,13,3.4,-18,Nick Smith Jr.
89,57,2025-02-25,CHO,@,GSW,"L, 92-128",*,32:38,3,11,.273,1,8,.125,2,3,.667,.318,2,2,1.000,0,2,2,2,1,1,2,4,9,2.6,-18,Nick Smith Jr.
90,58,2025-02-27,CHO,@,DAL,"L, 96-103",*,33:16,5,14,.357,2,5,.400,3,9,.333,.429,0,0,,1,2,3,7,0,0,0,2,12,9.6,-10,Nick Smith Jr.
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Nick Smith Jr.
91,59,2025-03-01,CHO,,WAS,"L, 100-113",*,37:59,5,16,.313,2,9,.222,3,7,.429,.375,0,0,,0,4,4,4,0,0,3,2,12,3.0,-14,Nick Smith Jr.
92,60,2025-03-03,CHO,,GSW,"L, 101-119",*,28:59,3,12,.250,0,8,.000,3,4,.750,.250,0,0,,0,0,0,1,1,0,3,3,6,-3.7,-23,Nick Smith Jr.
93,61,2025-03-05,CHO,,MIN,"L, 110-125",*,36:40,4,10,.400,3,8,.375,1,2,.500,.550,0,0,,1,3,4,3,0,0,1,1,11,7.9,-11,Nick Smith Jr.
94,62,2025-03-07,CHO,,CLE,"L, 117-118",,25:23,4,9,.444,1,4,.250,3,5,.600,.500,0,0,,1,1,2,2,0,0,1,2,9,4.9,-2,Nick Smith Jr.
95,63,2025-03-08,CHO,,BRK,"W, 105-102",*,32:11,6,16,.375,3,9,.333,3,7,.429,.469,4,4,1.000,0,2,2,2,0,0,0,1,19,11.8,4,Nick Smith Jr.
96,64,2025-03-10,CHO,@,MIA,"W, 105-102",,15:54,2,6,.333,0,2,.000,2,4,.500,.333,0,0,,0,1,1,1,0,0,1,1,4,0.2,-19,Nick Smith Jr.
97,65,2025-03-12,CHO,@,ATL,"L, 110-123",,19:05,3,7,.429,1,4,.250,2,3,.667,.500,0,0,,0,3,3,2,0,0,3,2,7,1.8,-10,Nick Smith Jr.
98,66,2025-03-14,CHO,@,SAS,"W, 145-134",,27:23,9,12,.750,6,7,.857,3,5,.600,1.000,2,2,1.000,0,3,3,5,0,0,4,3,26,20.4,2,Nick Smith Jr.
99,67,2025-03-16,CHO,@,LAC,"L, 88-123",,20:01,4,9,.444,1,3,.333,3,6,.500,.500,0,0,,0,1,1,1,0,0,1,0,9,4.3,-14,Nick Smith Jr.
100,68,2025-03-18,CHO,,ATL,"L, 102-134",,27:08,4,13,.308,0,5,.000,4,8,.500,.308,3,4,.750,2,3,5,4,0,0,2,1,11,5.8,2,Nick Smith Jr.
101,69,2025-03-20,CHO,,NYK,"W, 115-98",,26:54,4,10,.400,2,4,.500,2,6,.333,.500,3,3,1.000,0,4,4,3,0,0,1,1,13,9.5,16,Nick Smith Jr.
102,70,2025-03-21,CHO,@,OKC,"L, 106-141",,26:27,5,14,.357,4,9,.444,1,5,.200,.500,0,0,,0,0,0,3,0,0,4,1,14,3.9,-23,Nick Smith Jr.
103,71,2025-03-23,CHO,@,MIA,"L, 105-122",*,38:22,7,14,.500,5,9,.556,2,5,.400,.679,0,0,,0,3,3,3,1,0,2,2,19,13.2,-19,Nick Smith Jr.
104,72,2025-03-25,CHO,,ORL,"L, 104-111",,25:01,5,11,.455,3,7,.429,2,4,.500,.591,0,0,,0,2,2,3,0,0,2,2,13,7.2,-11,Nick Smith Jr.
105,73,2025-03-28,CHO,@,TOR,"L, 97-108",,24:47,2,14,.143,1,5,.200,1,9,.111,.179,2,2,1.000,0,1,1,3,0,0,1,0,7,-0.6,-6,Nick Smith Jr.
106,74,2025-03-30,CHO,@,NOP,"L, 94-98",,35:27,7,16,.438,3,5,.600,4,11,.364,.531,2,2,1.000,1,3,4,2,0,0,1,1,19,12.2,-12,Nick Smith Jr.
107,75,2025-03-31,CHO,,UTA,"W, 110-106",,19:41,1,6,.167,1,5,.200,0,1,.000,.250,0,0,,0,0,0,5,0,0,3,3,3,-1.5,-11,Nick Smith Jr.
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Nick Smith Jr.
,76,2025-04-02,CHO,@,IND,"L, 105-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
,77,2025-04-04,CHO,,SAC,"L, 102-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
108,78,2025-04-06,CHO,,CHI,"L, 117-131",,22:01,3,12,.250,0,7,.000,3,5,.600,.250,2,2,1.000,0,2,2,4,0,0,0,3,8,3.0,-13,Nick Smith Jr.
109,79,2025-04-08,CHO,,MEM,"L, 100-124",,14:02,3,6,.500,2,3,.667,1,3,.333,.667,0,0,,0,2,2,2,0,0,1,1,8,5.6,-2,Nick Smith Jr.
110,80,2025-04-09,CHO,@,TOR,"L, 96-126",*,37:26,8,13,.615,6,9,.667,2,4,.500,.846,6,6,1.000,0,6,6,10,0,0,2,1,28,28.5,-19,Nick Smith Jr.
111,81,2025-04-11,CHO,@,BOS,"L, 94-130",*,17:00,3,7,.429,2,5,.400,1,2,.500,.571,1,1,1.000,0,4,4,4,0,0,0,0,9,9.3,-5,Nick Smith Jr.
,82,2025-04-13,CHO,@,BOS,"L, 86-93",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Smith Jr.
61,1,2024-10-23,CHO,@,HOU,"W, 110-105",,16:33,2,9,.222,1,3,.333,1,6,.167,.278,0,0,,2,3,5,1,1,0,3,1,5,0.1,-2,Vasilije MiciÄ
62,2,2024-10-25,CHO,@,ATL,"L, 120-125",,18:36,1,6,.167,0,3,.000,1,3,.333,.167,0,0,,3,3,6,1,0,0,1,0,2,0.9,1,Vasilije MiciÄ
63,3,2024-10-26,CHO,,MIA,"L, 106-114",,09:44,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,0,0,1,0,0,0,1,0,-1.8,-4,Vasilije MiciÄ
,4,2024-10-30,CHO,,TOR,"W, 138-133",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Vasilije MiciÄ
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Vasilije MiciÄ
,5,2024-11-01,CHO,,BOS,"L, 109-124",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Vasilije MiciÄ
,6,2024-11-02,CHO,,BOS,"L, 103-113",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Vasilije MiciÄ
,7,2024-11-04,CHO,@,MIN,"L, 93-114",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Vasilije MiciÄ
,8,2024-11-06,CHO,,DET,"W, 108-107",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Vasilije MiciÄ
,9,2024-11-08,CHO,,IND,"W, 103-83",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Vasilije MiciÄ
,10,2024-11-10,CHO,@,PHI,"L, 105-107 (OT)",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Vasilije MiciÄ
64,11,2024-11-12,CHO,@,ORL,"L, 89-114",,13:35,1,5,.200,0,1,.000,1,4,.250,.200,2,4,.500,0,3,3,1,1,0,1,1,4,1.3,-10,Vasilije MiciÄ
,12,2024-11-16,CHO,,MIL,"W, 115-114",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Vasilije MiciÄ
65,13,2024-11-17,CHO,@,CLE,"L, 114-128",,14:27,3,4,.750,3,4,.750,0,0,,1.125,0,0,,0,0,0,2,0,0,1,2,9,7.0,2,Vasilije MiciÄ
,14,2024-11-19,CHO,@,BRK,"L, 115-116",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Vasilije MiciÄ
